Category,Question,Answer,Tags
Help After Hours,I messaged late at night. When can I expect a response?,"Our response time is usually within a few hours. For urgent matters, email us or resend your query during working hours.","support hours, response time"
Histopathology & Cytology,Is there a book for histopathology reporting?,"Currently, there is no specific book for histopathology reporting.","Histopathology, Books"
Histopathology & Cytology,Does the course cover routine reporting of histopathology and cytology?,"Yes, the course includes both histopathology and cytology case studies and virtual slides for practice.","Histopathology, Cytology, Course"
Histopathology & Cytology,How many virtual slides are included in the histopathology and cytology course?,"The number of virtual slides is variable, but they will be shared as part of the course.","Histopathology, Cytology, Virtual Slides"
Histopathology & Cytology,Can I access virtual slides at any time?,"Yes, the virtual slides are accessible at your convenience.","Virtual Slides, Access"
Histopathology & Cytology,Are there slides for every case in the histopathology and cytology course?,"Yes, every case is associated with relevant virtual slides, which are discussed in detail during the course.","Histopathology, Cytology, Virtual Slides"
Histopathology & Cytology,Is there any free sample material for the histopathology and cytology course?,"Yes, you can access sample materials and videos on our website.","Histopathology, Cytology, Sample Material"
Histopathology & Cytology,Will ovarian tumors be covered in the histopathology course?,"Yes, ovarian tumors will be included in the future updates of the course.","Histopathology, Ovarian Tumors"
Histopathology & Cytology,Will there be live lectures for histopathology and cytology?,"Yes, live lectures will be conducted as part of the course, along with recordings for flexible learning.","Histopathology, Cytology, Live Lectures"
Histopathology & Cytology,Are cytology case slides included in the course?,"Yes, virtual cytology case slides are included and will be discussed in detail.","Cytology, Virtual Slides"
Image-Based Queries,What does immunofluorescence show in Lichen Planus?,Shows a linear or granular IgG pattern.,"lichen planus, immunofluorescence"
Image-Based Queries,How to identify LSIL on a pap smear?,LSIL typically shows koilocytes. Two enlarged nuclei alone are not conclusive.,"lsil, pap smear, cytology"
Image-Based Queries,What cell is involved in perineuronal satellosis with calcification?,Oligodendrocytes are typically seen in this pattern.,"cns, pathology, oligodendrocytes"
Image-Based Queries,Black patches in a diabetic and hyperlipidemic patient – diagnosis?,"If not on flexures, consider seborrheic dermatitis. If on flexures, acanthosis nigricans is likely.","dermatology, image, diagnosis"
Image-Based Queries,Test of choice for subepidermal blister with >1:250 titre?,BP230 is the correct test for Bullous Pemphigoid.,"bullous, dermatology, bp230"
Institute Identity,Is this Ranjeet Sir’s group?,"No, we are a separate entity from Ranjeet Sir's group.",#faculty #group
International Shipping,I’m outside India. Is shipping still free?,Free shipping is available only within India. International shipping charges are applicable and shown at checkout.,"shipping, international, charges"
International Users,I’m from outside India. How do I pay?,"For international payments, please use Razorpay or PayPal (if available). Razorpay supports most international cards.","international payment, PayPal, Razorpay"
Learning Help,Where are the answers to the worksheets?,Worksheet answers are available at the end of the document. Check the last few pages.,#worksheets #answers
Learning Help,I need an opinion on a pathology case.,Sure. Please share case details and any relevant slides/images for review.,#case #support
Learning Tools,Are flashcards available in the course?,"Yes, flashcards for quick revision are included in the course.",#flashcards #revision
Lecture Content,What topics are covered in the video lectures?,"Topics include GIT, B-Lymphomas, FGT (Uterus), and Salivary Gland, among others.","lectures, topics"
Live Classes,Are live lectures available in the course?,"Yes, live lectures are included as part of the course package.","Live Lectures, Course"
Live Classes,What time is this week’s session?,This week’s session is scheduled for 7 PM IST.,#schedule #liveclass
Live Classes,Why are unpaid users attending the class?,"Occasionally, classes are posted for all users. Regular access remains for subscribed users only.",#class #access
Live Session,Will another mock test be uploaded before the exam?,"Yes, Grand Mock 5 will be uploaded before the exam for additional practice.","mock 5, upcoming test"
Live Sessions,When will the live discussion of the mock test happen?,Live discussion dates depend on participant registration. We will notify you via email once it’s scheduled.,"live session, discussion"
Login & Access,I am unable to log in to the course portal. What should I do?,"Please ensure you're using the correct username and password. If the issue persists, let us know so we can share an alternate login temporarily.","login issue, course access"
Login & Access,What should I do if the CAPTCHA verification is not working?,"If CAPTCHA fails repeatedly, please try clearing your browser cache or switch devices. Meanwhile, we can provide temporary credentials.","login issue, captcha"
Login & Access,My purchased course isn’t visible after login.,Please share your registered email ID and payment proof. We will verify your purchase and restore access promptly.,"course visibility, purchase issue"
Login & Access,How do I re-register with the correct email ID?,"Visit the course page, use your correct email to register, and follow the activation email to reset your password.","registration, email fix"
Login & Access,I'm still unable to log in after password reset.,Please share the error details. We will check the backend and issue new credentials if needed.,"login issue, technical support"
Login & Access,I am unable to login to my account.,"Please try resetting your password. If you do not receive the reset link, share your email with us and we’ll assist you further.","login, access issue, password reset"
Login & Access,I didn’t receive the password reset email. What should I do?,Kindly share your registered email ID with us. We’ll manually verify and resend the reset link or provide alternative access if required.,"reset, email issue"
Login & Access,My account shows “removed.” Why can’t I access the course?,This may be due to course expiry. Please check your subscription status or contact support to extend access.,"removed access, expired course"
Login & Access,Can I use a different login ID to access the course?,"Yes, we can provide an alternate ID if you're facing login issues. Please contact us with your course details.","alternate ID, login issue"
Login Help,I’ve registered but I’m not sure how to login.,"Please use the course link to login. If you face issues, let us know for support.",#loginhelp #support
Login Issue,My course isn’t showing after login.,"Please logout and re-login. If issue persists, contact support.","login, issue, course"
Material Clarification,"15. Can you explain the differences between gliosis, glioma, and GBM in the neuropathology section?","These terms describe different stages and types of brain tissue changes and tumors. Gliosis refers to reactive changes in glial cells, while glioma and GBM are malignant tumors.","Content Clarification, Neuropathology"
Material Clarification,30. Is there any content on genetic alterations in salivary gland tumors?,"Yes, you can find the materials  related to genetic alterations in salivary gland tumors in our page","Content Clarification, Salivary Glands"
Material Format,5. Can I access notes after course validity? Should I purchase a hard copy or Kindle version?,"Yes, both methods (hard copy or Kindle version) are available for you to keep the notes long-term.","Material Format, Course Access"
Miscellaneous,Can you send me a link for a specific book or material?,"Please specify the book or material you need, and I will send you the link.","Resources, Links"
Miscellaneous,Can I send feedback on the materials after the exam?,"Yes, you can send feedback anytime, even after the exam. We always welcome suggestions to improve the materials.","Feedback, Suggestions"
Miscellaneous,Can you update the flashcard section for more content?,We are constantly updating our resources. Please check back for additional flashcards in the near future.,"Flashcards, Updates"
Mock Exams,Does the FRCPATH course include mock exams?,"Yes, mock exams are included in the course package.","Mock Exams, FRCPATH"
Mock Navigation,How to review answers after attempting mock tests?,"After completing a test, you can review answers through the same interface. A tutorial video is also available.",#mocktest #review
Mock Test,I subscribed for the mock test. How do I use it?,You can log in using this link to access and solve the mock tests: https://pathologymcq.com/courses/neet-ss-oncopathology-mock-tests/,#mocktest #oncopathology #login
Mock Test,Is there a mock test available for FRCPath Part 1?,"Yes, we offer a separate mock test package for FRCPath Part 1 Histopathology. Please contact us for access and pricing.","mock test, FRCPath Part 1"
Mock Test,I submitted a mock test but cannot view my answers due to a network issue. What can I do?,Please share your email ID. We will send the answer report manually.,"answer report, mock test"
Mock Test,Where can I find Grand Mock 4 and 5?,These are available under the Grand Mock section at the end of the NEET SS course content.,"grand mock, test section"
Mock Test,Is Grand Mock 4 the same as the test held on 15/03?,"Yes, Grand Mock 4 corresponds to the test conducted on 15/03. It will be available in the course by 18/03.","test date, mock 4"
Mock Test,How many times can I attempt the mock test?,You can attempt the mock test multiple times unless specified otherwise.,"mock test, repeat"
Mock Test Access,How often are mock tests conducted?,"We release mock tests periodically, with advance notifications via email and portal.","mock test, frequency"
Mock Test Experience,The actual NEET SS exam felt lengthier than mocks.,That’s understandable. The real exam often has section-wise restrictions. Practice time-bound mock tests to build endurance.,mock vs real exam
Mock Test Experience,The third section in NEET SS was tough.,Each NEET SS exam section varies in difficulty. Focusing on core concepts will help tackle the tougher ones.,"section difficulty, NEET SS"
Mock Test Experience,First section in NEET SS was easier than mocks.,That’s good to hear. We try to set challenging mocks to boost preparation efficiency.,"mock test level, feedback"
Mock Test Info,How many mock tests are included in the FRCPath course?,The course includes 5 complete mock tests of 125 questions each in MCQ + EMQ format.,"mock tests, frcpath, practice"
Mock Tests,I want to reattempt a test after errors were corrected.,The test has been updated. You may now reattempt it as desired.,"test-retry, corrections"
Mock Tests,Are all mock tests included in the course?,"Yes, all mock tests are part of the course package.","mock-tests, included"
Mock Tests,Can I get FRCPath mock tests for free or discounted?,"Mock tests are included in your FRCPath course. If you’re already enrolled, you have full access.","mock-access, discount-request"
Mock Tests,How many grand mocks are there in the DM Path course?,The DM Path course includes 5 grand mocks and many topic-wise practice questions.,"mock test, dm path"
Mock Tests,Will more grand mocks be added?,"Yes, 3 are currently available, and 2 more will be added closer to the exams.","mock test, updates"
Mock Tests,How many INI SS mocks are included?,The number is mentioned in the product link. Kindly check here: [INI SS Mock Test Link],"iniss, mock test"
Mock Tests,Is there any one-month access for INI SS mocks?,Only 3-month access is available at the moment.,"iniss, access duration"
Mock Tests,"I gave the free mock test, but I can't access the review.","After submitting the test, the answers and score will appear. If the page was refreshed, please retake to view results.","mock test, results, review"
Mock Tests,Do I have to give the test again to see the answers?,"Yes, if the session was closed, you'll need to retake the test to access the review section.","retake, test, review"
Mock Tests,When will the mock test results be out?,The score and answers are available immediately after submitting the test.,"mock test, result, availability"
NEET SS Preparation,Is NEET SS postponed?,"As of now, there is no official update. Please refer to the official NBE website or share sources for us to verify.","exam schedule, NEET SS"
NEET SS Preparation,Is there any age preference in NEET SS?,NEET SS does not have an age preference. Eligibility is based on academic qualifications.,NEET SS eligibility
NEET SS Preparation,What if I miss a few questions in the exam?,"It's completely fine. Many top rankers skip 1-2 questions to avoid negative marking. Focus on accuracy, not attempting all.","exam strategy, NEET SS"
NEET SS Preparation,Should I leave questions I’m not sure about?,"Yes, if you're unsure, it’s better to leave the question to avoid negative marking.","negative marking, exam tip"
NEET SS Preparation,How should I manage time for long questions in NEET SS?,"Practice with time-bound mocks. Prioritize shorter questions first, then tackle the lengthier ones.","time management, exam tips"
NEET SS Specific,Do you have NEET SS Oncopathology materials?,"Yes, we offer a complete NEET SS Oncopathology course. You can view and purchase it here.","NEET SS, oncopathology, course"
NEET-SS Preparation,Are the materials good enough to crack NEETSS?,"The materials are designed to be highly effective, but consistent practice and solving MCQs are key to success.","NEETSS, Preparation"
NEET-SS Preparation,How many days should I allot for each book?,At least 3 months for each book is recommended.,"NEETSS, Study Plan"
NEET-SS Preparation,What should I do after completing the books?,"You should focus on revising regularly, solving MCQs, and addressing weak points.","NEETSS, Revision"
NEET-SS Preparation,Can you share past year questions?,"Past Year Questions (PYQs) are available, and solving them will help reinforce your understanding.","NEETSS, PYQ, Practice"
NEET-SS Preparation,Is there a video course available?,"Yes, the course includes recorded lectures and MCQ discussions that are essential for conceptual clarity.","NEETSS, Course, Video"
NEET-SS Preparation,Are video lectures based on the notes?,"Yes, the video lectures follow the content in the notes to help clarify concepts.","NEETSS, Course, Video"
NEET-SS Preparation,Is the NEETSS exam difficult to crack?,"With consistent practice and the right approach, you can crack NEETSS. Focus on understanding the concepts thoroughly.","NEETSS, Difficulty"
NEET-SS Preparation,How long should I revise before the exam?,It's important to start revising at least 45 days before the exam. Make a focused revision plan during this time.,"NEETSS, Revision"
NEET-SS Preparation,Are the MCQs enough to clear the NEETSS exam?,MCQs are crucial for reinforcing concepts. It's important to solve as many as possible and review your weak areas.,"NEETSS, MCQs, Practice"
NEET-SS Preparation,Are there mock tests in the NEETSS course?,"Yes, mock tests are included in the course, and they are an excellent way to assess your readiness.","NEETSS, Mock Tests"
Notes,Are the Pathology PG notes helpful for residency?,"Yes, the notes are designed to be helpful for residency and NEET-SS preparation.","Notes, Residency"
Notes,Will the hard copy collection be available for all topics?,"Yes, the hard copy collection includes all relevant topics.","Notes, Hard Copy"
Notes,How many questions are in the Qbank?,"The Qbank includes more than 150 questions per chapter, excluding grand mocks.","Qbank, Questions"
Notes,Does the course include explanations for each answer?,"Yes, each answer in the Qbank includes an explanation.","Explanations, Qbank"
Notes,Are the materials for NEET-SS preparation included in the course?,"Yes, the course includes materials for NEET-SS preparation, including updates from the latest WHO classifications.","NEET-SS, Notes"
Notes,Can I get the hard copy of the course notes after purchasing the online course?,"Yes, you can purchase hard copies separately from the course.","Notes, Hard Copy"
Notes,Is the course valid for 12 months or more?,"The course can be valid for 12 months or 18 months, depending on the plan you select.","Course, Validity"
Notes (Samples),Can you send me sample notes for Hematopathology and Histopathology?,"Yes, we provide sample notes upon request.","sample notes, hematopathology, histopathology"
Notes Availability,Do you provide notes for all subjects?,"Yes, we provide notes for various subjects like histopathology, general pathology, etc.","Notes, Subjects"
Notes Clarity,Are the notes exam-oriented?,"Yes, our notes are focused on high-yield exam-specific concepts.","exam-oriented, notes, high-yield"
Notes Format,Will soft copy notes be provided with the course?,"Yes, soft copy notes are included with the course.",#softcopy #notes #course
Notes Format,Are notes available as PDFs?,Notes are viewable online; PDFs are not available for download.,"notes, format, pdf"
Notes Pricing,How much are the Cytopathology notes?,The Cytopathology notes are available for purchase on the website.,"Notes, Pricing"
Notifications,Can you inform me if a new book comes out?,Sure! I’ll notify you about all our future releases and special offers.,"book updates, notifications"
Offer Validity,Is the coupon still valid?,"The ""HISTOBOOKFIRST25"" coupon was valid until December 2024. However, I can activate a fresh coupon for you if you're a returning buyer.","coupon, expiry"
Online Support,Is online support available throughout the course?,"Yes, we offer online support during the entire course duration.","Support, Online"
Order and Shipping,"How long would it take to deliver to Cape Town, South Africa?",About 10 - 15 days.,"Shipping, Delivery"
Order and Shipping,How long will the shipment take for delivery to AIIMS New Delhi?,It will reach you by 15th April if the order is placed today.,"Shipping, Delivery"
Order and Shipping,Which courier do you use for shipments?,We use Fedex for shipments.,"Shipping, Courier"
Order and Shipping,Can you guarantee delivery before a specific date?,"Yes, we will expedite the shipping to ensure delivery on time.","Shipping, Delivery"
Order Assistance,I can’t find the combo set again on the website.,You can access the complete combo set using this link.,"combo set, link, order"
Order Completion,What details do you need after payment?,"Please share your full name, complete address with PIN code, phone number, email, and an alternate contact number if available.","shipping details, customer info"
Order Details,What details do you need for shipping?,"Full name, complete address, PIN code, phone number, email, and alternate number.","order, address, shipping"
Order Modification,Can I modify the dates of the mock exams or subjects for a specific timeframe?,"Yes, we can consider your request and adjust the dates for you.","Order, Modification"
Order Process,How do I place an order for hard copy notes?,"You can place your order through our website, and we will ship the books to your address.","Order, Notes"
Order Process,How can I order?,You can place your order through our website or directly via UPI/Google Pay. Would you like the payment details?,"order, payment"
Order Process,It does not work.,"Sorry for the inconvenience. Could you please let me know which part isn’t working — website, coupon, or payment? I’ll help you immediately.","issue, support, website"
Order Reminder,Will I be reminded if I forget to order?,We send reminders before coupon codes expire or limited-time offers close.,"order reminder, coupon"
Order Status,Can I get an update on the status of my order?,"Your order will be shipped soon, and tracking details will be provided once dispatched.","Order, Status"
Order Status,Will the notes be shipped along with the online course?,"No, notes will not be shipped with the online course. However, you can place a separate order for notes.","Order, Status"
Order Status,Has NEET SS Grand Mock 3 been uploaded?,There has been a slight delay. It will be uploaded in a day or two.,"mock test, upload status"
Order Status,Have you dispatched my hard copy order?,"Yes, once your order is placed, dispatch typically happens the next business day. You will be notified with tracking if available.","order, dispatch, shipping"
Order Support,I’ve added the combo set to the cart but it's showing empty now.,Please try adding the product again using this link. Let me know if you face any issues.,"cart issue, combo set, order help"
Order Support,I’ve completed the payment but haven’t received a confirmation.,"Thank you for your payment. You should receive a confirmation email shortly. If not, we will send it manually. Please wait a few minutes.","order confirmation, payment"
Order Support,My book has not been delivered yet.,"Please share an alternate number. If returned, we’ll resend and update you with tracking details.","order, delivery, reship"
Order Support,How can I track my order?,Tracking details will be shared once the order is dispatched.,"tracking, shipping, courier"
Order Support,Courier returned my notes. What now?,We will reship your order. Please ensure your contact details are up to date.,"notes, delivery failed, reship"
Ordering Help,I can’t add all three books together.,"Please add each book to your cart separately, then apply the coupon. We’ve also shared a step-by-step video guide if needed.","website, cart, troubleshooting"
Orders & Payments,How do I proceed with payment for hard copy books?,"Add the books to your cart on pathologymcq.com, then proceed to checkout.",#payment #order
Orders & Payments,Is there a coupon code I can use?,"Yes, please use the latest coupon code: SPECIAL20 or SPECIAL30 depending on the offer.",#discount #coupon
Orders & Payments,I want to place an order. Can someone guide me?,"Yes, our team is available to guide you. Please share your requirements or call us.",#orderhelp #guide
Orders & Payments,Can I call for order-related queries?,"Yes, you are welcome to call us for any help with ordering.",#call #support
Orders & Payments,I have made the payment. What next?,Thank you! We will confirm and initiate the dispatch. You'll receive tracking details soon.,#orderconfirmed #nextsteps
OSPE/Molecular Prep,Will OSPE cases be available before the session?,OSPE scenarios will be discussed during the class. Pre-session cases will be shared when available.,"OSPE, preparation"
Payment,How much do I need to pay to renew the course?,The renewal for the course is ?3000.,"Payment, Course Renewal"
Payment,Can I use a coupon code for the 3-month course renewal?,"Unfortunately, no coupon code is available for the 3-month plan.","Coupon, Payment"
Payment,How long will it take to deliver the notes?,Notes will be delivered within 7-10 days.,"Delivery, Notes"
Payment,When can I expect to receive the notes after ordering?,You should receive the notes by 15th April.,"Delivery, Notes"
Payment,Can I pay using Google Pay for the course?,"Yes, you can make payments via Google Pay using the provided number.","Payment, Google Pay"
Payment,Can I use a coupon for the course?,"You can use a coupon for certain courses, but not for the 3-month plan.","Coupon, Payment"
Payment,Please send me any other payment option.,You can pay via Google Pay to 7825890222 or use our UPI ID: pathologymcqs@oksbi. We also accept QR code payments.,"payment, alternative"
Payment,Is the discount applied in the amount?,"Yes, the total amount after applying the discount is ?2250. Let me know if you’d like to proceed.","discount, pricing"
Payment,What is the renewal price for 3 months?,The 3-month access costs ?3000. We’ll also provide a coupon code for a discount.,"renewal, pricing, extension"
Payment,Can I use a credit card for payment?,"Yes, we can share a QR code. You may try using it with your credit card.","payment method, credit card"
Payment,Any coupon codes available?,You can use code “PATH30HISTO” for applicable discounts.,"coupon, discount"
Payment,Is there a coupon for test series?,"Sorry, coupon codes are not applicable to the test series.","test series, discount"
Payment & Access,I haven't received access to the mock test.,"Please confirm if the payment has gone through. Once verified, access will be granted.","payment, access issue"
Payment & Access,My card isn’t working. How else can I pay?,You can request a PayPal payment link if your card isn't working.,"payment issue, PayPal"
Payment & Access,I paid but didn’t receive access. What should I do?,Please share your transaction details with us. We will verify and provide access accordingly.,"payment, verification"
Payment & Pricing,What is the cost of the FRCPATH 2 course?,The course costs 155 USD.,"Pricing, FRCPATH 2"
Payment & Pricing,How much does the course cost?,The course pricing is available on the website. You can check current plans under each course listing.,"pricing, fee"
Payment & Pricing,Is there a discount or coupon available?,"Yes, you can use the coupon code: PATH10HISTO for a discount.","discount, coupon"
Payment & Purchase,How much do I need to pay for the hard copy of the notes?,"The cost for hard copies is listed on our website, and it depends on the course package selected.","Payment, Hard Copy"
Payment & Purchase,Is the NEET SS course accessible for all chapters right away after purchase?,"Yes, you will have access to all chapters immediately after purchasing the NEET SS course.","Payment, NEETSS, Access"
Payment & Purchase,Can I pay separately for the hard copy of notes for the course?,"Yes, you can choose to purchase the hard copies separately or along with the course.","Payment, Notes"
Payment and Enrollment,How do I make the payment for the FRCPath course?,You can make the payment through PayPal. A payment link will be provided once you confirm your interest.,"Payment, Course"
Payment and Enrollment,Can I pay in USD?,"Yes, you can make the payment in USD. The course is priced at $120 USD with shipping included.","Payment, Course"
Payment and Enrollment,How long does it take for the books to be shipped?,The books will be shipped within a week and should reach you by the 15th to 20th of the month.,"Shipping, Course"
Payment and Enrollment,How can I check the status of my payment?,"After payment, you will receive a confirmation email. If you face any issues, feel free to reach out to us.","Payment, Course"
Payment and Enrollment,Can I access the course immediately after payment?,You will gain access to the course materials right after your enrollment and payment confirmation.,"Payment, Course"
Payment and Enrollment,What happens if I can't access the course after payment?,"If you're unable to access the course, please send us a screenshot of the error, and we will resolve it for you as soon as possible.","Payment, Course"
Payment and Enrollment,How do I get a refund for the course?,Refunds are processed according to our refund policy. Please contact support for assistance.,"Payment, Refund"
Payment and Enrollment,Can I change the duration of the course after payment?,"Once the payment is made, changing the duration may not be possible. However, feel free to contact us for any exceptions.","Payment, Course Duration"
Payment Confirmation,How will I be added to the WhatsApp group after payment?,"After payment, you will be added to the WhatsApp group for updates.","Payment, WhatsApp Group"
Payment Confirmation,Will I receive a receipt for my payment?,"Yes, you will receive a payment confirmation receipt after successful payment.","Payment, Receipt"
Payment Confirmation,Will I get immediate access after payment?,"Yes, you will get immediate access after payment confirmation.","Access, Payment"
Payment Confirmation,Is ?2500 the price after discount for General Path and Cytology?,"Yes, the discounted price for both books is ?2500 with free shipping.","pricing, payment"
Payment Confirmation,I’ve made the payment. What’s next?,Please share your email to be added to the group. You’ll receive access shortly.,"payment, confirmation, next steps"
Payment Confirmation,I’ve paid. What next?,Please share payment proof. Then send your address and contact details for processing.,"payment, confirmation, order processing"
Payment Error,Amount is showing higher than the discounted price.,"If you're facing issues on the site, you can pay via UPI with the correct amount.","payment, discrepancy, discount"
Payment Inquiry,How can I pay for the course?,You can make the payment directly on our website using a credit/debit card or UPI.,"payment, checkout, card"
Payment Issues,What if I face an issue with the payment link?,"Please contact us, and we will assist you with any issues.","Payment, Assistance"
Payment Methods,Do you accept PayPal payments?,"Yes, we accept PayPal.","Payment, PayPal"
Payment Mode,What are the payment methods accepted?,"We accept UPI, GPay, PhonePe, and credit/debit cards (Visa/MasterCard).","payment, mode, UPI"
Payment Options,What are the payment options available?,You can pay via UPI (pathologymcqs@oksbi) or bank transfer to 78258 90222.,"payment, options, UPI"
Payment Queries,Do you accept international payments?,"Yes, we accept international payments via different payment gateways.","Payments, International"
Payment Queries,Can I pay via another method apart from PayPal?,"Currently, PayPal is the only accepted payment method.","Payment, PayPal"
Payment Query,Why is my payment not going through?,Please check your PayPal details and ensure they are correct or contact us for assistance.,"Payment, Issues"
Payment Query,Can I pay with international cards?,"Yes, international credit and debit cards are accepted on our website.","payment, international"
Payment Support,I paid for mock tests but later enrolled in the full course.,"Since mocks are included in the course, your mock test payment will be refunded within 7–10 days.",#refund #mocktest #coursebundle
Payment Support,I didn’t receive the full refund amount.,Some amount may be deducted as transaction/service provider fees. Please share your UPI ID if eligible for balance refund.,#refund #upi #charges
Payment Verification,How can I confirm if my payment was successful?,"You will receive a payment confirmation email, or you can contact us for verification.","Payment, Confirmation"
Payments,Can I pay using UPI?,"Yes, you can pay using our UPI ID: pathologymcqs@oksbi.","UPI, payments, fees"
Payments,Can you send a QR code for payment?,"Yes, we can share the QR code upon request. Please confirm the course you wish to purchase.","QR code, payment method"
Payments,Can I pay through GPay or PhonePe?,"Yes, you can use GPay, PhonePe, or UPI. We'll share the UPI ID or QR code.","payment, GPay, PhonePe, UPI"
Payments,Is SBI RuPay card accepted on the website?,"Some RuPay cards may not be accepted. In that case, please use UPI or direct bank transfer.","card, payment error, SBI"
Payments & Discounts,Is there a coupon code for the FRCPath Part 2 course?,"Yes, you can use the coupon code “PATH10HISTO” at checkout.","frcpath2, discount code, coupon"
Payments & Discounts,Are there any discounts higher than 20% for FRCPath 1?,"Occasionally we provide special discounts. Please use ""PATH30HISTO"" if still valid or check with support.","discount, frcpath1, offers"
Payments & Discounts,Can I get a receipt for my payment?,"Yes, please share your order ID or email, and we will resend the receipt.","payment receipt, invoice"
Payments & Discounts,Where do I apply the coupon code?,Apply the code during checkout in the ‘Coupon Code’ section.,"checkout help, coupon apply"
Payments & Refunds,Can I get a refund for the gross discussion session?,"Yes, a refund will be initiated if you upgrade to the comprehensive course.","refund, gross session"
Payments & Refunds,When will my refund be processed?,Refunds are processed within 3–4 working days.,"payment, refund timing"
Peer Group,Will I be added to a study group?,"Yes, enrolled students are added to a WhatsApp group for peer interaction and updates.","study group, WhatsApp, peer learning"
Platform Access,How do I access your online courses?,You can access the course through the website using the provided link.,"Platform, Access"
Platform Access,Can I access the platform via an app?,The platform is accessible only via the website.,"Platform, Access"
Platform Guide,How do I navigate the dashboard to access quizzes and notes?,"Notes are in green, MCQs in blue. Video lectures are at the end of each module.",#navigation #help
Portal Access,How do I get portal access after payment?,Please register at https://pathologymcq.com/register/ for your access credentials.,"portal access, registration"
Post-Delivery Support,I’ve received the books. Thank you.,We're glad to hear that. Do let us know your feedback or if you need any assistance.,"delivery confirmation, feedback"
Post-Payment,Whom should I share the payment screenshot with?,You can send the payment screenshot to this WhatsApp number. We'll process your order immediately after confirmation.,"order confirmation, payment"
Practice & Mock Support,Where can I find more practice questions?,Please check the “Practice MCQs” and “Daily Quiz” sections on your course dashboard for new material.,practice questions
Practice & Mock Support,Can you add more subject-specific mocks?,We’re constantly adding new mocks. Let us know the subjects you’d like more of—we’ll prioritize them.,"subject-specific content, mock tests"
Pre-Class Materials,Are there any pre-class materials or cases to review?,Pre-class cases are shared when applicable. You will receive a notification if any are uploaded before a session.,"preparation, OSPE, mock"
Preparation Help,What is the difficulty level of the INI-SS DM Hematopathology exam?,"It is challenging and includes histopath, cyto, and molecular questions. Consistent preparation with MCQs and reference books is advised.","INI-SS, DM, exam difficulty"
Pricing,What’s the price in Mexican Peso?,"The cost is approximately 4000 MXN, including shipping.",#pricing #international
Pricing,What currency is the price listed in?,Prices on the website are listed in Indian Rupees (INR).,#currency #pricing
Pricing,What’s the total cost for three books after discount?,Please add all three books to your cart and apply the coupon code PATH30HISTO. The discounted total will appear before you pay.,"pricing, bundle, coupon"
Pricing Inquiry,What are the charges for the complete NEET SS Oncopathology package?,"The full package costs ?15,000 and includes 1-year course access, all video lectures, MCQs, mocks, and 6 hard copy books.",#pricing #coursebundle #completepackage
Product Availability,Do you provide soft copies of your notes?,Soft copies are not available.,"Product, Availability"
Product Bundle Info,Is there a collection that includes everything?,"Yes, our complete package includes online course access and all 5 books.","bundle, full package"
Product Confusion,The website shows wrong book titles. What should I do?,Kindly place the order. The correct set will be sent regardless of the website display issue.,"book mix-up, order assurance"
Product Details,Do you provide any sample material for courses?,"Yes, we provide sample materials such as MCQs and mock exams for some courses.","Product, Samples"
Product Info,How many pages are there in each book?,"Histopath and hematology have 300 pages, general path 200, cyto and histotechniques 100 pages.",#productinfo #books
Product Info,Do you ship to Mexico?,"Yes, we ship internationally including to Mexico.",#shipping #international
Product Info,Where can I buy the hematopathology notes if not available on Amazon?,You can order directly from https://pathologymcq.com. We ship worldwide.,#order #notes
Product Info,What are the approach-based courses about?,These are structured courses that help you tackle questions based on clinical and diagnostic approach.,"approach course, explanation"
Product Info,Do you have flashcards or hard copies for NEET-SS Oncopathology?,"Yes, hard copies of NEET-SS Oncopathology materials are available. You can order using this link.","hard copies, NEET-SS, flashcards"
Product Information,How can I place an order for the complete collection?,You can place your order on our website using the provided link.,"Order, Process"
Product Information,Do you offer a discount for first-time customers?,"You can use specific discount codes available at the time of purchase, such as ""SPECIAL30"".","Discounts, Promotions"
Product Information,What courses do you recommend for NEET SS Oncopathology preparation?,"We recommend the NEET SS Oncopathology course that covers general pathology, histology, cytology, and more.","Courses, Recommendations"
Product Information,Can I get video lectures along with the course materials?,"Yes, the course includes video lectures along with MCQs and mocks.","Courses, Video Lectures"
Product Inquiry,How helpful are your notes for NEET SS 2026 prep?,Our notes are designed as per the latest NEET SS exam pattern and are highly recommended for 2026 preparation.,#neetss #notes #examprep
Product Inquiry,How updated are your notes?,The notes are regularly updated and follow the latest NEET SS and DM Oncopathology patterns.,#notes #updated #neetss
Product Navigation,Where can I buy INI SS mock tests?,You can buy INI SS mock tests from this link: [product link].,"iniss, mock test"
Product Updates,Are you publishing any new books?,"Yes, General Pathology is under preparation. We’ll notify you once it’s launched. Stay tuned!","upcoming books, updates"
Program Switch,Can I switch from one course plan to another?,"Yes, course upgrades are possible. Contact us for assistance.","switch, plan, upgrade"
Promo Validity,Today is the last day of offer. Can I still purchase with discount?,"Yes, you can place your order today to avail the discount. After that, regular pricing applies.","discount, offer deadline"
Purchase & Payments,I couldn’t make payment using my Visa card. What should I do?,"Please try using Razorpay for international card support. Alternatively, PayPal can be used if available.","payment, visa issue, razorpay"
Purchase & Payments,I don’t have PayPal. Can I still pay?,"Yes, you can use Razorpay with international cards or try using your friend’s PhonePe or other available UPI method.","paypal alternative, international payment"
